instance,objective,solve_time_sec,bnb_nodes,vehicle_duration_min,primary_road_duration_min,secondary_road_duration_min,vehicle_idle_time_min,total_drone_airtime_min,vehicle_distance_ft,primary_road_distance_ft,secondary_road_distance_ft,private_road_distance_ft,num_drone_launch_arcs,num_customers,num_total_flights_generated,num_active_flights,flight_reduction_pct,final_gap_pct,final_best_bound
21,36.517464,542.907,123968,15.6983,9.9653,5.7329,20.8192,6.0783,43305.74,30693.25,12612.49,0.00,21,25,34400,22000,36.05,0.0087,36.514297
22,40.750395,1380.453,280127,17.3604,9.9653,7.3950,23.3900,6.1760,46962.30,30693.25,16269.05,0.00,26,29,39904,25520,36.05,0.0000,40.750395
23,37.967132,1532.109,286893,10.7639,6.5212,4.2428,27.2032,10.3666,29419.31,20085.24,9334.07,0.00,22,27,37152,23760,36.05,0.0000,37.967132
24,37.662806,277.219,46214,10.9074,6.5212,4.3862,26.7554,8.5891,29734.89,20085.24,9649.65,0.00,23,30,41280,26400,36.05,0.0000,37.662806
26,56.829754,3603.109,316552,20.7490,11.6393,9.1097,36.0808,7.7400,55890.42,35849.19,20041.23,0.00,41,48,66048,42240,36.05,0.8144,56.366961
28,54.351082,1530.766,220638,18.7576,11.3881,7.3695,35.5935,8.0099,51288.15,35075.31,16212.83,0.00,37,45,61920,39600,36.05,0.0000,54.351082
