instance,objective,solve_time_sec,bnb_nodes
1,14.896086,1.328,0
2,15.843254,1.047,0
3,14.835526,0.766,0
4,18.516195,1.078,0
5,18.500918,0.75,0
6,27.759317,1.062,0
7,26.756213,0.797,0
8,24.150304,0.688,0
9,24.812546,0.937,0
10,24.752715,0.469,0
11,32.966118,0.609,0
12,33.366385,0.859,0
13,30.051425,0.453,0
14,33.146974,0.718,0
15,31.682123,0.844,0
16,42.024618,0.562,0
17,41.223346,0.594,0
18,34.705116,0.484,0
19,38.171272,0.89,0
20,38.589818,0.609,0
