instance,AOI,group,customers,VDS_objective_min,VDS_primary_dur_min,VDS_secondary_dur_min,VDS_service_min,VDS_distance_ft,DDS_objective_min,DDS_gap_pct_1800s,DDS_solved_1800s,DDS_proven_extended,DDS_cpu_s_capped,DDS_bnb_nodes,DDS_primary_dur_min,DDS_secondary_dur_min,DDS_idle_min,DDS_drone_airtime_min,DDS_distance_ft,time_change_pct,distance_change_pct,flights_generated,flights_retained
31,Suffolk,3,75,54.7068,11.3881,14.9152,28.4035,67888.8,77.7143,15.3637,0,0,1800.0,17233,11.3881,11.0939,55.2324,10.1505,59481.8,42.06,-12.38,103200,66000
32,Suffolk,3,78,58.6103,11.3881,17.9976,29.2246,74670.1,81.2168,12.3089,0,0,1800.0,34304,11.3881,11.3950,58.4337,11.6403,60144.2,38.57,-19.45,107328,68640
33,Suffolk,3,74,57.6926,11.3881,18.1695,28.1350,75048.3,76.7004,16.0021,0,0,1800.0,27211,11.3881,10.5814,54.7309,9.8378,58354.4,32.95,-22.24,101824,65120
34,Suffolk,3,86,61.9311,11.3881,18.1695,32.3734,75048.3,86.9284,10.2385,0,0,1800.0,33149,11.3881,12.3087,63.2316,11.3965,62154.6,40.36,-17.18,118336,75680
35,Suffolk,3,67,52.7555,11.3881,15.7293,25.6381,69679.8,71.1201,0.0042,1,1,1170.5,124035,11.3881,9.6690,50.0629,9.7364,56347.2,34.81,-19.13,92192,58960
36,Suffolk,4,95,63.9803,11.3881,16.6730,35.9192,71755.9,93.0780,0.1335,0,0,1800.0,124367,11.3881,11.9605,69.7294,12.1867,61388.4,45.48,-14.45,130720,83600
37,Suffolk,4,98,66.7533,11.3881,18.1364,37.2288,74975.4,95.9349,9.2657,0,0,1800.0,36875,11.3881,12.3087,72.2380,12.6019,62154.6,43.72,-17.10,134848,86240
38,Suffolk,4,96,63.9460,11.3881,16.2749,36.2830,70880.1,93.2245,0.1952,0,0,1800.0,113726,11.3881,12.0076,69.8288,11.4292,61492.1,45.79,-13.24,132096,84480
39,Suffolk,4,101,67.5961,11.3881,18.0832,38.1249,74858.3,98.3738,7.8889,0,0,1800.0,35996,11.3881,11.7432,75.2425,13.4174,60910.3,45.53,-18.63,138976,88880
40,Suffolk,4,97,66.1919,11.3881,18.1695,36.6342,75048.3,95.2968,6.5151,0,0,1800.0,35825,11.3881,12.3087,71.5999,12.6298,62154.6,43.97,-17.18,133472,85360
